#OTU ID	S1-bottom	S1-sediment	S2-surface	S2-bottom	S2-sediment	S3-surface	S3-bottom	S3-sediment	S4-surface	S4-bottom	S4-sediment	S5-surface	S5-bottom	S5-sediment	S6-surface	S6-bottom	S6-sediment	S7-surface	S7-bottom	S7-sediment	S8-surface	S8-bottom	S8-sediment	S9-surface	S9-bottom	S9-sediment	S10-surface	S10-bottom	S10-sediment	S11-surface	S11-bottom	S11-sediment	S12-surface	S12-bottom	S12-sediment	S13-surface	S13-bottom	S13-sediment	S14-surface	S14-bottom	S14-sediment	C1-surface	C1-bottom	C1-sediment	C2-surface	C2-sediment	C3-surface	C3-sediment	C4-surface	C4-bottom	C4-sediment	C5-surface	C5-bottom	C5-sediment	C10-surface	C10-sediment	C11-surface	C11-bottom	C11-sediment	C12-surface	C12-bottom	C13-surface	C13-bottom	C13-sediment	C14-surface	C14-bottom	C14-sediment	N1-surface	N1-bottom	N1-sediment	N2-surface	N2-bottom	N3-surface	N3-sediment	N4-surface	N4-sediment	N5-surface	N5-sediment	N6-surface	N7-surface	N7-sediment	N8-surface	N8-sediment	N9-surface	N9-sediment	N10-surface	N10-sediment	N11-surface	N11	N12-surface	N12-sediment	N13-surface	N13-sediment	N14-surface	N14-sediment	N15-surface	N15-sediment	N16-surface	N16-bottom	N16-sediment
Zotu1654	0	49	0	0	5	0	0	19	0	0	3	0	0	30	0	0	9	0	0	9	0	0	5	0	0	0	0	0	56	0	0	7	0	0	5	0	0	0	0	0	23	0	0	0	0	1	0	31	0	0	0	0	0	20	0	3	0	0	28	0	0	0	0	19	0	0	2	0	0	0	0	0	0	11	0	19	0	8	0	0	3	0	1	0	0	0	17	0	0	0	3	0	4	0	12	0	2	0	0	9
Zotu1655	0	0	8	1	0	2	5	3	2	2	0	0	7	3	1	3	0	1	8	3	2	2	0	1	8	0	1	16	0	7	10	4	12	6	0	2	3	0	2	0	5	2	9	0	0	0	0	1	0	2	0	5	2	6	1	0	0	0	15	2	1	0	3	0	0	0	0	10	0	0	2	1	11	0	0	2	2	6	2	0	4	3	0	1	0	4	0	3	0	0	4	7	1	9	0	4	0	3	2	5
Zotu1656	0	0	0	0	1	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	340	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	59	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1657	0	5	0	0	3	0	0	7	0	0	22	0	0	2	0	0	10	0	0	4	0	0	7	0	0	0	0	0	3	0	0	12	0	0	17	0	1	0	0	0	23	0	0	0	0	15	0	60	0	0	2	0	0	3	0	11	0	0	2	0	1	0	0	1	0	0	1	0	0	0	0	0	0	10	0	12	0	16	0	0	3	0	1	0	0	0	23	0	3	0	17	0	5	0	1	0	0	0	0	6
Zotu1658	0	0	0	0	5	0	3	5	0	0	14	0	1	23	0	0	8	0	0	23	0	0	4	0	1	1	0	1	17	0	0	15	0	0	3	0	4	26	0	1	32	0	0	0	0	0	0	84	0	0	0	0	1	13	0	2	0	1	41	0	0	0	3	12	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	18	0	4	0	9	0	2	0	1	0	2	0	0	9
Zotu1659	0	7	0	0	16	0	0	7	0	0	11	0	0	0	0	0	1	0	2	53	0	0	12	0	1	0	0	3	13	0	2	11	0	0	1	0	0	1	0	0	22	0	0	0	0	0	0	4	0	0	0	0	0	25	0	49	0	0	0	0	0	0	0	2	0	0	0	0	0	20	0	0	0	20	0	13	0	50	0	0	9	0	14	0	0	0	0	0	6	0	54	0	0	0	16	0	0	0	0	0
Zotu1660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	114	0	8	0	0	0	0	0	0	125	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Zotu1661	0	24	0	1	6	0	0	0	0	0	1	0	0	4	0	0	31	0	0	16	0	0	9	0	0	5	0	0	11	0	0	0	0	0	0	0	2	0	0	3	14	0	0	0	0	14	0	18	0	4	0	0	2	1	0	14	0	3	0	0	4	0	4	3	0	1	7	0	0	7	0	0	0	5	0	10	0	5	0	0	5	0	34	0	0	0	3	0	9	0	2	0	2	0	20	0	0	0	0	15
Zotu1662	0	31	0	0	0	0	0	1	0	0	0	0	0	28	0	0	11	0	0	0	0	0	0	0	0	0	0	0	57	0	0	26	0	0	11	0	0	1	0	0	0	0	0	78	0	0	0	71	0	0	0	0	0	43	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	32	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Zotu1663	30	0	25	5	0	4	6	0	7	6	0	4	3	0	0	2	2	0	4	0	4	6	0	1	5	0	0	12	0	26	13	0	26	7	2	11	7	0	59	0	0	0	7	0	0	0	0	0	0	9	0	2	6	0	0	0	0	5	0	0	6	0	5	0	0	2	0	6	0	0	3	9	6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	8	0	4	0	1	0	0	21	0
