#OTU ID	S1-bottom	S1-sediment	S2-surface	S2-bottom	S2-sediment	S3-surface	S3-bottom	S3-sediment	S4-surface	S4-bottom	S4-sediment	S5-surface	S5-bottom	S5-sediment	S6-surface	S6-bottom	S6-sediment	S7-surface	S7-bottom	S7-sediment	S8-surface	S8-bottom	S8-sediment	S9-surface	S9-bottom	S9-sediment	S10-surface	S10-bottom	S10-sediment	S11-surface	S11-bottom	S11-sediment	S12-surface	S12-bottom	S12-sediment	S13-surface	S13-bottom	S13-sediment	S14-surface	S14-bottom	S14-sediment	C1-surface	C1-bottom	C1-sediment	C2-surface	C2-sediment	C3-surface	C3-sediment	C4-surface	C4-bottom	C4-sediment	C5-surface	C5-bottom	C5-sediment	C10-surface	C10-sediment	C11-surface	C11-bottom	C11-sediment	C12-surface	C12-bottom	C13-surface	C13-bottom	C13-sediment	C14-surface	C14-bottom	C14-sediment	N1-surface	N1-bottom	N1-sediment	N2-surface	N2-bottom	N3-surface	N3-sediment	N4-surface	N4-sediment	N5-surface	N5-sediment	N6-surface	N7-surface	N7-sediment	N8-surface	N8-sediment	N9-surface	N9-sediment	N10-surface	N10-sediment	N11-surface	N11	N12-surface	N12-sediment	N13-surface	N13-sediment	N14-surface	N14-sediment	N15-surface	N15-sediment	N16-surface	N16-bottom	N16-sediment
Zotu1674	0	0	0	1	5	0	0	1	0	0	14	0	0	2	0	0	10	0	0	27	0	0	8	0	0	3	0	0	5	0	0	4	0	0	5	0	0	0	0	0	2	0	1	0	0	2	0	19	0	0	1	0	0	9	0	7	0	0	28	0	0	0	0	3	0	0	0	0	0	22	0	0	0	6	0	21	0	12	0	0	1	0	12	0	31	0	37	0	7	0	6	0	2	0	4	0	15	0	0	16
Zotu1675	0	1	0	0	12	0	0	14	0	0	0	0	0	33	0	0	17	0	0	20	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	16	0	0	3	0	0	0	0	6	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	17	0	7	0	0	32	0	0	0	0	0	0	0	5	0	29	0	10	0	36	0	0	0	0	0
Zotu1676	1	2	0	0	6	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	33	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	209	0	39	0	47	0	0	1	0	0	0	9	0	0	0	6	0	0	0	1	0	0	0	1	0	0	0
Zotu1677	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	69	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	66	0	12	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	89	0	1	0	10	0	1	0	7	0	0	0	0	1
Zotu1678	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	5	0	10	0	0	246
Zotu1679	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1680	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	7	0	0	33	0	0	7	0	0	3	0	0	6	0	0	0	0	0	0	0	0	22	0	0	6	0	0	0	0	21	0	8	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	6	0	4	0	21	0	0	16	0	49	0	75	0	4	0	4	0	6	0	9	0	7	0	15	0	0	17
Zotu1681	0	2	0	0	3	0	0	2	0	0	4	0	0	20	0	0	49	0	0	35	0	0	8	0	0	17	0	0	11	0	0	2	0	0	3	0	0	1	0	0	48	0	0	0	0	1	0	10	0	0	0	0	0	0	0	4	0	0	1	0	0	0	2	2	0	0	1	0	0	2	0	0	0	0	0	17	0	26	0	0	4	0	8	0	32	0	0	0	0	0	2	0	8	0	19	0	0	0	0	0
Zotu1682	0	4	0	0	16	0	0	22	0	0	20	0	0	35	0	0	21	0	0	3	0	0	8	0	0	7	0	0	16	0	0	24	0	0	26	0	0	0	0	0	3	0	0	5	0	13	0	7	0	0	1	0	0	4	0	23	0	0	19	0	0	0	0	9	0	0	5	0	0	0	0	0	0	4	0	8	0	2	0	0	8	0	0	0	5	0	5	0	6	0	7	0	0	0	10	0	0	0	0	2
Zotu1683	0	0	0	0	0	0	0	3	0	0	0	0	0	7	0	0	4	0	0	25	0	0	0	0	1	11	0	0	5	0	0	2	0	0	24	0	0	3	0	0	18	0	0	34	0	23	0	21	0	0	7	0	0	10	0	6	0	0	7	0	0	0	0	21	0	0	8	0	0	13	0	0	0	20	0	10	0	6	0	0	1	0	55	0	33	0	24	0	4	0	8	0	3	0	16	0	26	0	0	6
Zotu1684	0	0	0	0	13	0	0	11	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1	0	0	29	0	0	64	0	0	17	0	0	8	0	0	0	0	0	0	0	0	0	0	31	0	124	0	0	4	0	0	19	0	9	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	262	0	0	0	18	0	64	2	0	0	0	0	0	0
Zotu1686	0	8	0	0	18	0	0	11	0	0	9	0	0	21	0	0	4	0	0	28	0	0	7	0	0	0	0	0	20	0	0	12	0	0	48	0	0	0	0	0	0	0	0	16	0	13	0	28	0	0	3	0	0	8	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	41	0	9	0	4	0	3	0	0	0	24	0	0	0
Zotu1687	0	4	0	0	0	0	0	0	0	0	6	0	0	4	0	0	32	0	0	30	0	0	2	0	1	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	17	0	2	0	0	0	0	0	1	0	5	0	0	1	0	0	0	0	5	0	0	5	0	0	32	0	0	0	27	0	19	0	9	0	0	3	0	6	0	0	0	55	0	29	0	20	0	10	0	25	0	0	0	0	0
Zotu1688	0	0	0	0	0	0	0	425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1689	10	0	9	0	0	6	5	0	4	0	0	0	3	0	2	1	0	4	4	0	24	1	0	3	3	0	7	1	3	11	4	0	17	5	0	6	1	0	31	1	0	21	2	0	7	0	2	0	0	4	0	28	2	0	22	0	4	0	0	4	3	12	1	0	5	2	0	3	0	0	3	0	7	0	3	0	3	0	4	0	0	6	0	1	0	13	0	0	0	0	0	13	1	3	0	3	0	4	3	0
Zotu1690	0	0	0	0	1	0	0	3	0	0	17	0	0	3	0	0	0	0	0	65	0	0	45	0	0	18	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	1	0	0	22	0	0	0	0	33	0	0	0	0	99	0	0	0	0	0	6	0	0	0	0	0	19	0	5	0	0	1	0	0	0	0	0	0	0	41	0	12	0	38	0	9	0	0	0	0	0
Zotu1691	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	22	0	0	7	0	0	73	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	9	0	0	0	95	0	0	0	0	0	0	0	0	2	0	0	0	0	0	8	0	0	0	1	0	0	0	13	0	0	3
Zotu1692	0	0	0	0	6	0	0	2	0	0	0	0	0	2	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	3	0	0	0	0	21	0	0	0	0	0	0	0	20	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	6	0	3	0	0	12	0	0	0	173	0	0	0	0	0	4	0	0	0	0	0	0	0	0	107
Zotu1693	0	2	0	0	6	0	0	0	0	0	7	0	0	17	0	0	54	0	2	21	0	0	8	0	1	0	0	0	21	0	0	5	0	0	0	0	0	0	0	0	12	0	0	18	1	7	0	10	0	0	1	0	0	1	0	18	0	0	11	0	1	0	0	10	0	3	7	0	0	3	0	2	0	19	0	23	0	18	0	0	19	0	37	0	18	0	18	0	5	0	15	0	7	0	10	0	32	0	0	0
Zotu1694	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	234	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
